epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,8883.52,1.19098,0.80064,1.16085,0.91196,0.69767,0.77751,0.56604,0.91199,0.59448,0.97458,0.000468626,0.000468626,0.000468626
64,9031.31,1.2053,0.83131,1.16444,0.93839,0.66597,0.76826,0.53996,1.04282,0.61009,1.01112,0.000464708,0.000464708,0.000464708
65,9167.19,1.20017,0.81976,1.16311,0.91842,0.6701,0.7728,0.54878,0.99995,0.6037,0.99701,0.000460749,0.000460749,0.000460749
66,9318.77,1.18166,0.79784,1.15441,0.92098,0.68567,0.77303,0.53463,1.0394,0.60927,1.0038,0.00045675,0.00045675,0.00045675
67,9445.19,1.19524,0.81933,1.15715,0.90263,0.69864,0.77366,0.53933,1.02252,0.60536,1.00187,0.000452713,0.000452713,0.000452713
68,9581.36,1.20525,0.81539,1.1646,0.92352,0.67954,0.77201,0.56964,0.88072,0.58078,0.95808,0.000448638,0.000448638,0.000448638
69,9707.87,1.19673,0.81067,1.15211,0.90541,0.69704,0.77197,0.56893,0.89783,0.5809,0.96927,0.000444527,0.000444527,0.000444527
70,9838.66,1.18412,0.79684,1.14479,0.90557,0.69942,0.7744,0.5689,0.92076,0.57796,0.98102,0.00044038,0.00044038,0.00044038
71,9975.59,1.17858,0.80197,1.15309,0.88136,0.70889,0.77468,0.57436,0.88629,0.58684,0.96851,0.000436198,0.000436198,0.000436198
72,10134.4,1.17727,0.78194,1.15271,0.90735,0.69603,0.76581,0.54929,0.98616,0.60127,0.99071,0.000431983,0.000431983,0.000431983
73,10264.7,1.17779,0.80025,1.14804,0.93365,0.70217,0.77734,0.56817,0.92076,0.57931,0.97195,0.000427735,0.000427735,0.000427735
74,10397.1,1.18144,0.78665,1.13866,0.94272,0.69044,0.7913,0.56133,0.98546,0.58108,0.99013,0.000423455,0.000423455,0.000423455
